ka+,ㄍㄚˋ
kãŋ+,ㄍㄤˋ
kẽn+,ㄍㄣˇ
ki+,ㄍㄜˋ
kĩŋ,ㄍㄥˋ
ku+,ㄍㄨˋ
kũŋ+,ㄍㄨㄥˋ
kỹn+,ㄍㄨㄣˋ
ke+,ㄍㄟˇ
kẽŋ+,ㄍㄥˋ
ko+,ㄍㄡˋ
kɔ+,ㄍㄡˋ
kõŋ+,ㄍㄨㄥˋ
kɔ̃ŋ-,ㄍㄨㄥˋ
kø+,ㄍㄜˋ
ca+,ㄐㄧㄚˋ
cãŋ+,ㄐㄧㄤˋ
ci+,ㄐㄧˋ
cĩŋ,ㄐㄧㄥˋ
cĩn+,ㄐㄧㄣˋ
cu+,ㄐㄧㄡˋ
cũŋ+,ㄐㄩㄥˇ
ce+,ㄐㄧㄝˋ
co+,ㄐㄧㄡˋ
cɔ+,ㄐㄧㄡˋ
cõŋ+,ㄐㄩㄥˉ
ʈa+,ㄓㄚˋ
ʈãŋ+,ㄓㄤˋ
ʈe+,ㄓㄜˋ
ʈu+,ㄓㄨˋ
ʈũŋ+,ㄓㄨㄥˋ
ʈõŋ+,ㄓㄨㄥˋ
la+,ㄌㄚˋ
le+,ㄌㄟˋ
lẽn+,ㄌㄥˋ
lu+,ㄌㄩˋ
lũŋ+,ㄌㄨㄥˋ
lo+,ㄌㄡˋ
lɔ+,ㄌㄡˋ
lõŋ+,ㄌㄨㄥˋ
kø̃n+,ㄍㄨㄣˋ
cy+,ㄐㄧㄡˋ
ʈi+,ㄓㄜˋ
ky+,ㄍㄨˋ
cø̃n+,ㄐㄩㄢˋ
ʈy+,ㄓㄨˋ
ʈẽn+,ㄓㄣˋ
ʈø+,ㄓㄜˋ
cẽn+,ㄐㄧㄢˋ
cẽŋ+,ㄐㄧㄢˋ
cø+,ㄐㄧㄡˋ
ʈỹn+,ㄓㄨㄣˉ
ɟa+,ㄐㄧㄚˋ
ɟãŋ+,ㄐㄧㄤˋ
ɟe+,ㄐㄧㄝˋ
ɟi+,ㄐㄧˋ
ɟũŋ+,ㄐㄩㄥˉ
ɟy+,ㄐㄩˋ
ɟø+,ㄐㄧㄡˋ
ɟø̃n+,ㄐㄩㄢˋ
kʰa+,ㄎㄚˉ
kʰãŋ+,ㄎㄤˋ
kʰe+,ㄎㄜˋ
kʰẽn+,ㄎㄣˇ
kʰi+,ㄎㄜˋ
kʰu+,ㄎㄨˋ
kʰũŋ+,ㄎㄨㄥˋ
kʰy+,ㄎㄨˋ
kʰỹn+,ㄎㄨㄣˋ
kʰẽŋ+,ㄎㄥˉ
kʰo+,ㄎㄡˋ
kʰɔ+,ㄎㄡˋ
kʰõŋ+,ㄎㄨㄥˋ
kʰɔ̃ŋ+,ㄎㄨㄥˋ
kʰø+,ㄎㄜˋ
kʰø̃n+,ㄎㄣˇ
cʰa+,ㄑㄧㄚˋ
cʰãŋ+,ㄑㄧㄤˋ
cʰe+,ㄑㄧㄝˋ
cʰi+,ㄑㄧˋ
cʰĩŋ+,ㄑㄧㄥˋ
cʰu+,ㄑㄧㄡˉ
cʰũŋ+,ㄑㄩㄥˉ
cʰy+,ㄑㄩˋ
cʰẽŋ+,ㄑㄧㄢˋ
cʰo+,ㄑㄧㄡˉ
cʰɔ+,ㄑㄧㄡˉ
cʰø+,ㄑㄧㄡˉ
cʰø̃n+,ㄑㄩㄢˋ
ʈʰa+,ㄔㄚˋ
ʈʰãŋ+,ㄔㄤˋ
ʈʰe+,ㄔㄨㄟˋ
ʈʰi+,ㄔˋ
ʈʰu+,ㄔㄨˋ
ʈʰũŋ+,ㄔㄨㄥˋ
ʈʰy+,ㄔˋ
ʈʰỹn+,ㄔㄨㄣˉ
ʈʰẽn+,ㄔㄣˋ
ʈʰo+,ㄔㄨㄛˋ
ʈʰɔ+,ㄔㄨㄛˋ
ʈʰõŋ+,ㄔㄨㄥˋ
ʈʰø+,ㄔㄜˋ
ʈʰø̃n+,ㄔㄣˋ
cʰẽn+,ㄑㄧㄢˋ
cʰỹn+,ㄑㄩㄣˊ
cʰõŋ+,ㄑㄩㄥˉ
lãŋ+,ㄌㄤˋ
lĩŋ,ㄌㄧㄥˋ
ly+,ㄌㄩˋ
lẽŋ+,ㄌㄥˋ
lø+,ㄌㄜˋ
lø̃n+,ㄌㄥˋ
ŋãŋ+,ㄤˋ
ŋẽn+,ㄣˉ
ŋy+,ㄩˋ
ŋo+,ㄡˋ
ŋõŋ+,ㄨㄥˋ
ŋɔ+,ㄡˋ
ŋø+,ㄜˋ
ŋa+,ㄚˋ
ŋø̃n+,ㄣˉ
ŋe+,ㄝˋ
ŋu+,ㄨˋ
ŋỹn+,ㄩㄣˋ
ʈ͡ʂa+,ㄐㄧㄚˋ
ʈ͡ʂãŋ+,ㄐㄧㄤˋ
ʈ͡ʂẽn+,ㄐㄧㄢˋ
ʈ͡ʂe+,ㄐㄧㄝˋ
ʈ͡ʂi+,ㄐㄧˋ
ʈ͡ʂĩŋ,ㄐㄧㄥˋ
ʈ͡ʂu+,ㄐㄧㄡˋ
ʈ͡ʂũŋ+,ㄐㄩㄥˇ
ʈ͡ʂy+,ㄐㄩˋ
ʈ͡ʂo+,ㄐㄧㄡˋ
ʈ͡ʂɔ+,ㄐㄧㄡˋ
ʈ͡ʂõŋ+,ㄐㄩㄥˉ
ʈ͡ʂɔ̃ŋ+,ㄐㄩㄥˉ
ʈ͡ʂø+,ㄐㄧㄡˋ
ʈ͡ʂĩn+,ㄐㄧㄣˋ
ʈ͡ʂỹn+,ㄐㄩㄣˋ
ʈ͡ʂʰa+,ㄑㄧㄚˋ
ʈ͡ʂʰãŋ+,ㄑㄧㄤˋ
ʈ͡ʂʰe+,ㄑㄧㄝˋ
ʈ͡ʂʰẽn+,ㄑㄧㄢˋ
ʈ͡ʂʰẽŋ+,ㄑㄧㄢˋ
ʈ͡ʂʰi+,ㄑㄧˋ
