,a,a
འ,a:,a
ག,ak,əx
གས,ak,əx
ང,ang,əng
ངས,ang~,əng
ད,ä',ɛt
ན,än,ɛn
བ,ap,ab
བས,ap,ab
མ,am,am
མས,am~,am
ལ,äl,ɛl
འི,äj,ɨ
འིའོ,a|-i|-o,i|wo
འོ,a|-o,a|o
འང,a|-ang,a|wang
འམ,a|-am,a:m
ར,ar,ər
ས,ä',e
ི,i,i
ིག,ik,ɨx
ིགས,ik,ɨx
ིང,ing,ang
ིངས,ing~,ang
ིད,i',it
ིན,in,in
ིབ,ip,ib
ིབས,ip
ིམ,im,im
ིམས,im~,im
ིལ,il,il
ིའི,i:,i:
ིའིའོ,i:|-o
ིའོ,i|-o
ིའང,i|-ang
ིའམ,i|-am
ིར,ir,ir
ིས,i',i
ུ,u,u
ུག,uk,ɨx
ུགས,uk,ɨx
ུང,ung,ong
ུངས,ung~,ong
ུད,ü',ut
ུན,ün,un
ུབ,up,ub
ུབས,up
ུམ,um,um
ུམས,um~,um
ུལ,ül,ul
ུའི,üj,ɨ
ུའིའོ,u|-i|-o
ུའོ,u|-o,
ུའང,u|-ang
ུའམ,u|-am
ུར,ur
ུས,ü',i
ེ,e,e
ེག,ek,əx
ེགས,ek,əx
ེང,eng,ang
ེངས,eng~,ang
ེད,e',et
ེན,en,en
ེབ,ep,eb
ེབས,ep,eb
ེམ,em,em
ེམས,em~,em
ེལ,el,el
ེའི,ej
ེའིའོ,e|-i|-o
ེའོ,e|-o
ེའང,e|-ang
ེའམ,e|-am
ེར,er,er
ེས,e',i
ོ,o,o
ོག,ok,ox
ོགས,ok,ox
ོང,ong,ong
ོངས,ong~,ong
ོད,ö',ot
ོན,ön,wən
ོབ,op,ob
ོབས,op
ོམ,om,om
ོམས,om~,om
ོལ,öl,ol
ོའི,öj
ོའིའོ,o|-i|-o
ོའོ,o|-o
ོའང,o|-ang
ོའམ,o|-am
ོར,or,or
ོས,ö',i
འུ,a|u,u
འུའི,u|-i
འུའིའོ,u|-i|-o
འུའོ,u|-o
འུའང,u|-ang
འུའམ,u|-am
འུར,ur,ur
འུས,ü',i
ིའུ,i|-u,u
ིའུའི,i|-u|-i
ིའུའིའོ,i|-u|-i|-o
ིའུའོ,i|-u|-o
ིའུའང,i|-u|-ang
ིའུའམ,i|-u|-am
ིའུར,i|-ur
ིའུས,i|-ü'
ུའུ,u|-u,u
ུའུའི,u|-u|-i,u
ུའུའིའོ,u|-u|-i|-o
ུའུའོ,u|-u|-o
ུའུའང,u|-u|-ang
ུའུའམ,u|-u|-am
ུའུར,u|-ur
ུའུས,u|-ü'
ེའུ,e|-u,u
ེའུའི,e|-u|-i
ེའུའིའོ,e|-u|-i|-o
ེའུའོ,e|-u|-o
ེའུའང,e|-u|-ang
ེའུའམ,e|-u|-am
ེའུར,e|-ur
ེའུས,e|-ü'
ོའུ,o|-u,u
ོའུའི,o|-u|-i
ོའུའིའོ,o|-u|-i|-o
ོའུའོ,o|-u|-o
ོའུའང,o|-u|-ang
ོའུའམ,o|-u|-am
ོའུར,o|-ur
ོའུས,o|-ü'
