# form	pos	lemma	sense	freq
ཀ	DET			
ཀ་	DET			
ཀ་ཀུ་ཏ་	PROPN			
ཀ་ཀུ་རུ་	OTHER			
ཀ་ཀུར་	OTHER			
ཀ་ཀོ་ལ	OTHER			
ཀ་ཁ་	NOUN			
ཀ་ཁོལ་མ་	OTHER			
ཀ་གུ་ཡ་	OTHER			
ཀ་ཆག་	OTHER			
ཀ་ཆུ་	PROPN			
ཀ་ཆུ་བ	PROPN			
ཀ་ཆུ་བ་ཚུལ་འབྱུང་	PROPN			
ཀ་ཆུ་བན་ཆུང་	PROPN			
ཀ་ཆེན་	NOUN			
ཀ་ཏྤཱུ་ར་	OTHER			
ཀ་ཐོག་	OTHER			
ཀ་ཐོག་པ	PROPN			
ཀ་དག་	OTHER			
ཀ་དཔེ་	OTHER			
ཀ་ན་ཀ་ཝརྨ་	PROPN			
ཀ་ན་ཀ་ཝརྨྨ་	PROPN			
ཀ་ན་ཀ་ཤི	PROPN			
ཀ་ན་ཤི་ནི་པ་ལི་	PROPN			
ཀ་ནི་ཀ	PROPN			
ཀ་ནིཥྐ	PROPN			
ཀ་པ་	OTHER			
ཀ་པ་ལ་ཕྱག་	NOUN			
ཀ་པཱ་ལ་	NOUN			
ཀ་པྱི་ན་	PROPN			
ཀ་པྱི་ལི	PROPN			
ཀ་པྱི་ལི་	PROPN			
ཀ་ཕྲིན་	OTHER			
ཀ་བ	NOUN			
ཀ་བ་	NOUN			
ཀ་བཞི་	PROPN			
ཀ་བཞི་གདུང་བརྒྱད་	PROPN			
ཀ་བཞི་གདུང་བརྒྱད་མ་	PROPN			
ཀ་བཤད་	OTHER			
ཀ་མ་ལ་གུཔྟ་	PROPN			
ཀ་མ་ལ་ཤཱི་ལ	PROPN			
ཀ་མ་ལ་ཤཱི་ལ་	PROPN			
ཀ་མ་ལ་ཤཱི་ལ་པདྨའི་ངང་ཚུལ་	PROPN			
ཀ་ཙ་ལ་ཧ	PROPN			
ཀ་ཚལ་	PROPN			
ཀ་འ་རི་བ་	PROPN			
ཀ་ར	OTHER			
ཀ་ར་ཀུ་ཤུ	PROPN			
ཀ་ར་ཝ་ཏི་	NOUN			
ཀ་རཱ་ཌེ	X			
ཀ་རྨ་	OTHER			
ཀ་རྨ་ཀཾ་ཚང་པ	OTHER			
ཀ་རྨ་པ	PROPN			
ཀ་རྨ་པ་	OTHER			
ཀ་རྨ་པ་མི་བསྐྱོད་རྡོ་རྗེ་བཞད་པ	PROPN			
ཀ་རྨ་པ་རང་བྱུང་རྡོ་རྗེ	PROPN			
ཀ་རྨ་མི་བསྐྱོད་རྡོ་རྗེ	PROPN			
ཀ་རྨ་ར་ཏྣ	OTHER			
ཀ་རྨ་རང་བྱུང་རྡོ་རྗེ	PROPN			
ཀ་རྨ་སྒྲུབ་བརྒྱུད་འཕྲིན་ལས་རབ་རྒྱས་དཔལ་བཟང་པོ	PROPN			
ཀ་རྩོམ་	OTHER			
ཀ་ལ་ཅན་དྲ	PROPN			
ཀ་ལ་པིང་ཀ	PROPN			
ཀ་ལ་བིད་ཀ	NOUN			
ཀ་ལན་ད་ཀ	PROPN			
ཀ་ལཱ་པ	OTHER			
ཀ་ལཱ་པ་	PROPN			
ཀ་ལི་ལེའོ་	OTHER			
ཀ་ལིང་	PROPN			
ཀ་ལིང་ཀ་	PROPN			
ཀ་ལིང་ག་	PROPN			
ཀ་ལླྱ་མི་ཏྲ་	X			
ཀ་ཤ་	OTHER			
ཀ་ཤི	PROPN			
ཀ་ཤི་	PROPN			
ཀ་ཤི་ཀ	PROPN			
ཀ་ཤུལ་	PROPN			
ཀ་སོ་རི་པ་	PROPN			
ཀ་སྨི་ར་	OTHER			
ཀ་ཧྣ་པ་	PROPN			
ཀག་ཟློག་	OTHER			
ཀན་ལྷོ	OTHER			
ཀན་ལྷོ་	OTHER			
ཀན་སུའུ་	PROPN			
ཀམ་ཚང་	OTHER			
ཀའེ་ཚི	PROPN			
ཀའོ་ལའོ་	OTHER			
ཀར་གླིང་	OTHER			
ཀར་ཊཱི་ཀ	OTHER			
ཀར་ཊཱི་ཀ་	OTHER			
ཀར་ཊཱི་ག་	OTHER			
ཀར་ཊི་ཀ་	OTHER			
ཀར་མ་	OTHER			
ཀར་འགྲེལ་	OTHER			
ཀར་འབྲུག་	NOUN			
ཀར་ལན་	OTHER			
ཀར་ཤ་པ་ཎ་	NOUN			
ཀར་ཤ་པ་ནེ	NOUN			
ཀརཥ་པ་	NOUN			
ཀརྨ་ངག་དབང་ཡོན་ཏན་རྒྱ་མཚོ་བློ་གྲོས་མཐའ་ཡས་པ	PROPN			
ཀརྨ་བསམ་འགྲུབ་	PROPN			
ཀརྨྨ་བཛྲ་	PROPN			
ཀཪྴ་པ་ཎི་	NOUN			
ཀཱ་ཀོ་ལ་	NOUN			
ཀཱ་ཏྱ	PROPN			
ཀཱ་ཏྱཱ་ཡ་ན	PROPN			
ཀཱ་ཏྱཱ་ཡ་ན་	PROPN			
ཀཱ་ཏྱཱ་ཡན་ནོག་ཅན་	PROPN			
ཀཱ་ཡ	NOUN			
ཀཱ་ར་ཥཱ་པ་ཎ་	NOUN			
ཀཱ་རི་ཀཱ་	NOUN			
ཀཱ་ལི་	OTHER			
ཀཱར་ཥཱ་པ་ཎ་	NOUN			
ཀཱི་ལ་ཡ	OTHER			
ཀི་	ADP			
ཀི་བསྭོ་	OTHER			
ཀི་མ་	NOUN			
ཀི་རྟི	OTHER			
ཀི་རྟི་	PROPN			
ཀི་རྟི་དགོན་	PROPN			
ཀི་རྟི་བློ་བཟང་འཕྲིན་ལས་	PROPN			
ཀི་ཤིག་	OTHER			
ཀི་སྒྲ་	OTHER			
ཀིང་	PROPN			
ཀིར་རྟི་	PROPN			
ཀུ་ཀུ་རི་པ	PROPN			
ཀུ་ཀུ་རི་པ་	PROPN			
ཀུ་ཀུ་རོ་པ་	PROPN			
ཀུ་ཅོ	NOUN			
ཀུ་ཅོ་	NOUN			
ཀུ་ཐང་	PROPN			
ཀུ་ནྡ་	OTHER			
ཀུ་བ	NOUN			
ཀུ་བ་	NOUN			
ཀུ་མ་ར་ཏ་	PROPN			
ཀུ་མཱ་ར་	PROPN			
ཀུ་མུ་ད་	NOUN			
ཀུ་མུད་	OTHER			
ཀུ་ར་	PROPN			
ཀུ་རེ་	NOUN			
ཀུ་ཤ	NOUN			
ཀུ་ཤ་	NOUN			
ཀུ་ཤུ་	NOUN			
ཀུ་ས་ཀ་མུ་ཏི་	PROPN			
ཀུ་ས་ར་	PROPN			
ཀུ་སུ་ལུ	NOUN			
ཀུ་སུ་ལུ་	NOUN			
ཀུ་སུ་ལུ་ཆེ་བ	PROPN			
ཀུ་སྨ་པུ་རི	PROPN			
ཀུ་ཧུ	OTHER			
ཀུང་ཧྲེ་	OTHER			
ཀུང་ཧྲེ་ཅན་	OTHER			
ཀུཎྜ་ལི	PROPN			
ཀུན	DET			
ཀུན་	DET			
ཀུན་ཁྱབ་	OTHER			
ཀུན་ཁྱབ་གླིང་	PROPN			
ཀུན་གནོད་	OTHER			
ཀུན་གཞི	NOUN			
ཀུན་གཞི་	NOUN			
ཀུན་གཟིགས་	OTHER			
ཀུན་གཟིགས་པཎ་ཆེན་	PROPN			
ཀུན་གཟིགས་པཎ་ཆེན་རིན་པོ་ཆེ	PROPN			
ཀུན་གཟིགས་སྐྱབས་མགོན་པཎ་ཆེན་སྣང་བ་མཐའ་ཡས་རྗེ་བཙུན་བློ་བཟང་འཕྲིན་ལས་ལྷུན་གྲུབ་ཆོས་ཀྱི་རྒྱལ་མཚན་དཔལ་བཟང་པོ་	PROPN			
ཀུན་གསལ་	OTHER			
ཀུན་གྱིས་སྲུངས་	PROPN			
ཀུན་གྲུབ་	OTHER			
ཀུན་གྲོལ་	OTHER			
ཀུན་ཏ	PROPN			
ཀུན་ཏ་	PROPN			
ཀུན་ཏུ་	OTHER			
ཀུན་ཏུ་བཟང་པོ	PROPN			
ཀུན་ཏུ་འཆང་	NOUN			
ཀུན་ཏུ་རྒྱུ་	NOUN			
ཀུན་ཏུ་རྒྱུ་གནག་ལྷས་	PROPN			
ཀུན་ཏུ་རྒྱུ་བ་	NOUN			
ཀུན་ཏུ་རྒྱུ་རབ་བཟང་	PROPN			
ཀུན་ཏུ་རྒྱུས་	NOUN			
ཀུན་ཏུ་སྣང་	NOUN			
ཀུན་ད	OTHER			
ཀུན་དགའ་	PROPN			
ཀུན་དགའ་གྲོལ་མཆོག་	PROPN			
ཀུན་དགའ་པོ་	PROPN			
ཀུན་དགའ་བཟང་པོ	PROPN			
ཀུན་དགའ་བོ	PROPN			
ཀུན་དགའ་བོ་	PROPN			
ཀུན་དགའ་ར་བ	NOUN			
ཀུན་དགའ་ར་བ་	NOUN			
ཀུན་དགའ་ར་བ་འདམ་བུ་ཅན་	PROPN			
ཀུན་དགའ་ར་བ་ལམ་	PROPN			
ཀུན་དགའ་རིན་ཆེན་	PROPN			
ཀུན་དགའ་རྒྱ་མཚོ	PROPN			
ཀུན་དགའ་རྒྱལ་མཚན་	PROPN			
ཀུན་དགའ་རྣམ་རྒྱལ་དཔལ་བཟང་པོ	PROPN			
ཀུན་དགའ་སྙིང་པོ	PROPN			
ཀུན་དགའ་སྙིང་པོ་	PROPN			
ཀུན་དགལ་	PROPN			
ཀུན་དུ་རྒྱུ་	NOUN			
ཀུན་པ་ན་	PROPN			
ཀུན་ཕན་	OTHER			
ཀུན་བཏགས་	NOUN			
ཀུན་བཏུས་	PROPN			
ཀུན་བཏུས་འགྲེལ་པ	PROPN			
ཀུན་བཟང་	ADJ			
ཀུན་བཟང་ཞིང་	NOUN			
ཀུན་བཟང་རྣམ་རྒྱལ་	PROPN			
ཀུན་བཤད་པ་	NOUN			
ཀུན་བསྡུས་	OTHER			
ཀུན་མཁྱེན་	OTHER			
ཀུན་མཁྱེན་བསོད་ནམས་སེང་གེ	PROPN			
ཀུན་མཁྱེན་འཇིགས་མེད་དབང་པོ	PROPN			
ཀུན་མཁྱེན་རྒྱལ་བ	NOUN			
ཀུན་མཁྱེན་སྦྲམ་རྩི་	NOUN			
ཀུན་མཐོང་	OTHER			
ཀུན་ཚང་	OTHER			
ཀུན་ཚིམས་	OTHER			
ཀུན་འགྲུབ་	OTHER			
ཀུན་འཇོམས་	OTHER			
ཀུན་འདུས་	OTHER			
ཀུན་འདྲེན་	OTHER			
ཀུན་འཕེལ་	OTHER			
ཀུན་འབྱུང་	NOUN			
ཀུན་འཛིན་	PROPN			
ཀུན་འཛོམས་	OTHER			
ཀུན་རིག་	OTHER			
ཀུན་རྒྱལ་	PROPN			
ཀུན་རྟེན་	NOUN			
ཀུན་རྟོག་	NOUN			
ཀུན་རྫོབ་	NOUN			
ཀུན་རྫོབ་སེམས་བསྐྱེད་	NOUN			
ཀུན་ལས་	OTHER			
ཀུན་ལས་བཏུས་	PROPN			
ཀུན་ལེགས་	PROPN			
ཀུན་ཤེས	PROPN			
ཀུན་ཤེས་	PROPN			
ཀུན་སེལ་	OTHER			
ཀུན་སྐོང་	OTHER			
ཀུན་སྐྲོལ་	OTHER			
ཀུན་སྒྲོལ྄་	OTHER			
ཀུན་སྣང་	OTHER			
ཀུན་སྤྱོད་	NOUN			
ཀུན་སྤྱོད་འཕགས་པ་	NOUN			
ཀུན་སྨོན་	OTHER			
ཀེ་	PROPN			
ཀེ་ཏ་ཀ	OTHER			
ཀེ་ཏ་ཀ་	OTHER			
ཀེ་ཐཱན་ཀྱཱ་ལི་	X			
ཀེ་བང་	PROPN			
ཀེ་ཡུ་རེ	X			
ཀེ་རི་སི	OTHER			
ཀེ་རུ	PROPN			
ཀེག་རྩིས་	OTHER			
ཀེང་རུས་	NOUN			
ཀེང་ཤུ	NOUN			
ཀེབ་ཏང་	OTHER			
ཀེམ་མོ་	OTHER			
ཀེའུ་ཚང་བློ་བཟང་འཇམ་དབྱངས་སྨོན་ལམ་	PROPN			
ཀེའུ་ལོ	PROPN			
ཀོ་ཀ་ལི་ཀ་	PROPN			
ཀོ་ཁྱིམ་པ་ཡེ་ཤེས་བླ་མ	PROPN			
ཀོ་བ་	NOUN			
ཀོ་བྲག་པ་	NOUN			
ཀོ་རོན་	PROPN			
ཀོ་ལོང་	NOUN			
ཀོ་ས་ལ	PROPN			
ཀོ་ས་ལ་	PROPN			
ཀོང་ཇོ་	PROPN			
ཀོང་ཐེའུ་	OTHER			
ཀོང་པོ	PROPN			
