# form	pos	lemma	sense	freq
ཀ་ཀཱ				12
ཀ་ཀུ་བྷ་ཡ				1
ཀ་ཀོ་ལ				50
ཀ་ཁ				98
ཀ་གཞུ				13
ཀ་གྲངས				1
ཀ་ཅ				70
ཀ་ཅི				7
ཀ་ཆ				98
ཀ་ཏོ་ར				12
ཀ་ཐོ				4
ཀ་དག				2137
ཀ་དཔེ				12
ཀ་དམ་པ				9
ཀ་ནི་ཀ				8
ཀ་པ				226
ཀ་པཱ་ལ				918
ཀ་པེད				6
ཀ་ཕུར				1
ཀ་ཕྲེང				8
ཀ་བ				3228
ཀ་བཀོལ་མ				4
ཀ་བཤད				12
ཀ་བསྟོད				1
ཀ་བེད				1
ཀ་མ་རུ				37
ཀ་མ་ལ				41
ཀ་མད				9
ཀ་མེད				1
ཀ་ཡེ				9
ཀ་ར				435
ཀ་རུ				137
ཀ་རྩོམ				2
ཀ་ལ				106
ཀ་ལ་པིང་ཀ				18
ཀ་ལཱ་པ				106
ཀ་ལི				135
ཀ་ཤ				21
ཀ་སྒྲོམ				1
ཀ་སྡེ				24
ཀག				134
ཀང་ཀ				19
ཀན				1242
ཀབ་ཀོབ				1
ཀམ་པ				34
ཀམ་ཚང				2
ཀར				819
ཀར་བརྒྱུད				10
ཀར་ལུགས				28
ཀརྐ་ཊ				102
ཀརྐོ་ཊ				49
ཀརྨ				690
ཀལྤ				53
ཀཱ་ཀོ་ལ				1
ཀཱ་རི་ཀ				40
ཀཱ་ལི				2194
ཀི				2402
ཀི་ཀང				62
ཀི་ཀི				13
ཀིང་ཤུ་ཀ				16
ཀིམ་པ་ཀ				2
ཀིའུ				10
ཀུ་ཅོ				182
ཀུ་དིར				1
ཀུ་བ				92
ཀུ་བེ་ར				152
ཀུ་མ་ར་ཏ				1
ཀུ་མཱ་ར				170
ཀུ་མུ་ད				381
ཀུ་མུད				355
ཀུ་ཡ				8
ཀུ་རུ				158
ཀུ་རུ་ཀུ་ལེ				11
ཀུ་རུ་ཁ				4
ཀུ་རེ				483
ཀུ་ཤ				1713
ཀུ་ཤུ				47
ཀུ་ས་ར				4
ཀུ་སཱ་ལི				170
ཀུ་སྒྲ				23
ཀུག				6
ཀུན				237960
ཀུན་ཁྱབ				7
ཀུན་གཞི				5167
ཀུན་གཟིགས				23
ཀུན་གསལ				105
ཀུན་གྲུབ				14
ཀུན་ཏུ་འོད				1
ཀུན་ད				3
ཀུན་དཀྲིས				102
ཀུན་དགའ				2923
ཀུན་དགའ་ར་བ				1267
ཀུན་དོང				15
ཀུན་བཏགས				157
ཀུན་བཏུས				505
ཀུན་བདག				12
ཀུན་བཟང				3760
ཀུན་བརྟགས				567
ཀུན་བྱང				1
ཀུན་མཁྱེན				1990
ཀུན་ཟ				1
ཀུན་འཁོར				5
ཀུན་འགེངས				4
ཀུན་འགྲོ				178
ཀུན་འཇོམས				7
ཀུན་འབྱུང				1419
ཀུན་འཛིན				121
ཀུན་ར				2
ཀུན་རིག				610
ཀུན་རྟོག				706
ཀུན་རྫོབ				23443
ཀུན་རྫོབ་པ				69
ཀུན་ལྡན				97
ཀུན་ཤེས				1016
ཀུན་སྟོབས				2
ཀུན་སྣང				250
ཀུན་སྤངས				9
ཀུན་སྤྱོད				1189
ཀུན་སྦྱོར				273
ཀུན་སློང				1889
ཀུམ་ཀུམ				2
ཀུམ་པོ				1
ཀེ				662
ཀེ་ཀ				3
ཀེ་ཀེ་རུ				57
ཀེ་ཏ་ཀ				27
ཀེ་རུ				14
ཀེ་རེ				15
ཀེ་ལ་ཤ				1
ཀེ་ས་ར				14
ཀེག				227
ཀེག་འཕྲང				7
ཀེང་རུས				1387
ཀེང་ཤུ་ཀ				14
ཀེམ་ཀེམ				6
