Char,unicode repr,pybo Category,Name,General Category,Canonical-Combining-Class,Decomposition-Type,Decomposition-Mapping,IndicPositionalCategory,IndicSyllabicCategory,OpenType (from Harfbuzz),Sanskrit
0F00,—ༀ—,SYMBOL,TIBETAN SYLLABLE OM,Lo,0,unofficial,0F68 0F7C 0F7E,,,,1
0F01,—༁—,SPECIAL_PUNCT,TIBETAN MARK GTER YIG MGO TRUNCATED A,So,0,,,,,,
0F02,—༂—,SPECIAL_PUNCT,TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA,So,0,unofficial,0F60 0F74 0F82 0F7F,,,,
0F03,—༃—,SPECIAL_PUNCT,TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA,So,0,unofficial,0F60 0F74 0F82 0F14,,,,
0F04,—༄—,NORMAL_PUNCT,TIBETAN MARK INITIAL YIG MGO MDUN MA,Po,0,,,,,,
0F05,—༅—,NORMAL_PUNCT,TIBETAN MARK CLOSING YIG MGO SGAB MA,Po,0,,,,,,
0F06,—༆—,NORMAL_PUNCT,TIBETAN MARK CARET YIG MGO PHUR SHAD MA,Po,0,,,,,,
0F07,—༇—,SPECIAL_PUNCT,TIBETAN MARK YIG MGO TSHEG SHAD MA,Po,0,,,,,,
0F08,—༈—,NORMAL_PUNCT,TIBETAN MARK SBRUL SHAD,Po,0,,,,,,
0F09,—༉—,SPECIAL_PUNCT,TIBETAN MARK BSKUR YIG MGO,Po,0,,,,,,
0F0A,—༊—,SPECIAL_PUNCT,TIBETAN MARK BKA- SHOG YIG MGO,Po,0,,,,,,
0F0B,—་—,TSEK,TIBETAN MARK INTERSYLLABIC TSHEG,Po,0,,,,,,
0F0C,—༌—,TSEK,TIBETAN MARK DELIMITER TSHEG BSTAR,Po,0,noBreak,0F0B,,,,
0F0D,—།—,NORMAL_PUNCT,TIBETAN MARK SHAD,Po,0,,,,,,
0F0E,—༎—,NORMAL_PUNCT,TIBETAN MARK NYIS SHAD,Po,0,,,,,,
0F0F,—༏—,NORMAL_PUNCT,TIBETAN MARK TSHEG SHAD,Po,0,,,,,,
0F10,—༐—,NORMAL_PUNCT,TIBETAN MARK NYIS TSHEG SHAD,Po,0,,,,,,
0F11,—༑—,NORMAL_PUNCT,TIBETAN MARK RIN CHEN SPUNGS SHAD,Po,0,,,,,,
0F12,—༒—,SPECIAL_PUNCT,TIBETAN MARK RGYA GRAM SHAD,Po,0,,,,,,
0F13,—༓—,SYMBOL,TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN,So,0,,,,,,
0F14,—༔—,NORMAL_PUNCT,TIBETAN MARK GTER TSHEG,Po,0,,,,,,
0F15,—༕—,SYMBOL,TIBETAN LOGOTYPE SIGN CHAD RTAGS,So,0,,,,,,
