ཀ་ཀཱ,3
ཀ་ཀོ་ལ,38
ཀ་ཁ,36
ཀ་གཞུ,1
ཀ་ཅ,29
ཀ་ཅི,1
ཀ་ཆ,21
ཀ་ཏོ་ར,1
ཀ་དག,15
ཀ་དམ་པ,2
ཀ་ནི་ཀ,18
ཀ་པ,42
ཀ་པཱ་ལ,573
ཀ་བ,564
ཀ་བ་ལི,2
ཀ་བཀོལ་མ,3
ཀ་བེད,1
ཀ་མ་རུ,4
ཀ་མ་ལ,6
ཀ་མེད,8
ཀ་འཕན,2
ཀ་ཡེ,4
ཀ་ར,207
ཀ་ར་ཤིང,1
ཀ་རུ,25
ཀ་རྩོམ,1
ཀ་ལ,39
ཀ་ལ་པིང་ཀ,83
ཀ་ལཱ་པ,163
ཀ་ལི,69
ཀ་ཤ,22
ཀ་སྡེ,22
ཀག,10
ཀང་ཀ,8
ཀན,132
ཀན་འོག,1
ཀན་རྩ,1
ཀར,821
ཀར་ལུགས,1
ཀརྐ་ཊ,94
ཀརྐོ་ཊ,2
ཀརྨ,148
ཀལྤ,37
ཀཱ་ཡཿ,1
ཀཱ་རི་ཀ,2
ཀཱ་ལི,668
ཀི,357
ཀི་ཀི,2
ཀིམ་པ་ཀ,10
ཀུ་ཅོ,32
ཀུ་བ,43
ཀུ་བེ་ར,59
ཀུ་མཱ་ར,80
ཀུ་མུ་ད,89
ཀུ་མུད,5
ཀུ་མུད་དགྲ,2
ཀུ་ཡ,4
ཀུ་རུ,296
ཀུ་རུ་ཀུ་ལེ,36
ཀུ་རུ་ཁ,2
ཀུ་རེ,78
ཀུ་ཤ,1314
ཀུ་ཤ་ལི,1
ཀུ་ཤུ,10
ཀུ་སཱ་ལི,152
ཀུ་སྒྲ,4
ཀུན,18966
ཀུན་ཁྱབ,3
ཀུན་གཞི,2238
ཀུན་གསལ,10
ཀུན་གྲུབ,13
ཀུན་ད,51
ཀུན་དཀྲིས,2
ཀུན་དགའ,8
ཀུན་དགའ་ར་བ,385
ཀུན་བཏགས,9
ཀུན་བཏུས,13
ཀུན་བཟང,1
ཀུན་བརྟགས,3
ཀུན་མཁྱེན,28
ཀུན་ཟ,1
ཀུན་འཁོར,2
ཀུན་འགྲོ,228
ཀུན་འཇོམས,13
ཀུན་འདྲེན,20
ཀུན་འབྱུང,3
ཀུན་ར,9
ཀུན་རིག,14
ཀུན་རྟོག,5
ཀུན་རྫོགས་པ,3
ཀུན་རྫོབ,68
ཀུན་རྫོབ་པ,135
ཀུན་ལྡན,10
ཀུན་ཤེས,17
ཀུན་སྤྱོད,55
ཀུན་སྦྱོར,16
ཀུམ་པོ,1
ཀེ,935
ཀེ་ཀ,3
ཀེ་ཀེ་རུ,16
ཀེ་ཆུ,3
ཀེ་ཏ་ཀ,33
ཀེ་རུ,21
ཀེ་ས་ར,2
ཀེག,38
ཀེང་རུས,14
ཀེར་ཀེར,1
ཀེར་བ,1
ཀོ,425
ཀོ་གདན,1
ཀོ་གྲུ,1
ཀོ་ཅི,23
ཀོ་ཊ,13
