,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
ཐལ་,༻_༺,ད་,#དུ་,#འུ་,#ཆི་ཟིག་,།,ད་,#དེ་ནས་,#ཅི་ཞིག་,༻
འས་,༻,བཞག་,ད,།_༺,#ཆི་ཟིག་,།,#ཅི་ཞིག་,༻,༙,བདག་
༺,ཡི་,ན་,ད་,༻_༺_,#ཆི་ཟིག་,ཡི་,ན་,༻_,ད་,༺
རབས་,བཤད་,ནས་,ལོ་,༺,#ཆི་ཟིག་,#ཆི་ཟིག་,༻,གི་,འཆར་གཞི་,༺
བཤད་,ནས་,ལོ་,༺,#ཆི་ཟིག་,#ཆི་ཟིག་,༻,གི་,འཆར་གཞི་,༺,དེ
།,རྗེས་,༻_༺,ཟིག་,འ་,#ཆི་ཟིག་,རེ་,༻_༺,#ཨ་པ་,༻༼,ཕོ་
ནི་,༺,#ཨུ་,རེ་,༻_༺,#ཆི་ཟིག་,༻,གི་,ཨང་གྲངས,།_,
#བཞུར་,ཚད་,ཀི,།_༺,#ཁྱོ་,#ཆི་ཟིག་,ཡིན་,ནི་,རེ་,༻_༺,#ཆི་
ལ་,མི་,དྲན་,གི,།_༺,#ཆི་ཟིག་,ཡིན་,#དྲ,།༻_,,༼༽༺
ན་,༙,ག་,༙,_༺,#ཆི་ཟིག་,རེ་,༻,ནག་,#རིབ་,#སེ
