,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༺,ར་,།,ཡང་,༻_༺,#དུ་,།,དེ་,༻,ཡིན་,ནི་
སྒོ་,བསྟེན་,ཁང་,གི་,༺,#དུ་,ཟིག་,།,དེ་,ཞིག་,༻_༺
དྲུག་,བརྒྱ་,༺,ཟིག་,༻_༺,#དུ་,༻,ཡང་,༺,རང་,ང་རང་
༻,ན་,ཐར་,ཀ,ར་,#དུ,།_,ད་,དེ་,༺,རྩོང་
ཅི་,ཡིན་,ཐལ་,༻_༺,ད་,#དུ་,#འུ་,#ཆི་ཟིག་,།,ད་,#དེ་ནས་
བྱེད་,༻,ནི་,བོ་,༺,#དུ་,༻,ནས་,༺,#རྫོག་,ག་
ཤོར་,སོང་,༺,ངིས་,༻_༺,#དུ་,༻,ནས་,༺,#བཞིག་ནས་,།
བ,ས་,།,ནས་,༻_༺,#དུ་,འས་,།,དེ་,འདྲ,ས་
༺,དང་,།,བཞག་,༻,#དུ,ས་,ད,།_,ཡི་གེ་,༺
གི་,#ཐམ་ག་,མེད་,ན་,༺,#དུ་,མོ་,ཟིག་,༻,མིན་,#ཟེ
།,བྱེད་,༻,པོ་,༺,#དུ་,མོ་,ཟིག་,༻,མི་,ཆེ་
#ཉི་འ་,༻_༼,མོ་,མིང་,༽༺,#དུ་,#འུ་,།,#དེ་ནས་,༻,སུ་
གྱི་,རེ་,༻,ཨ,།_༺,#དུ་,༻,སུ,ས་,༙,ག་
༽༺,#གཤིས་འུ་,།,#དངོས་གནས་,༻_༺,#དུ་,མོ་,ཟིག་,༻,མ་,ལོན་
།,#འཁྱིལ་,༻,#བསྡད་,ཡོད་,#དུ,ས་,༺,ཐ་,ཚོ་,།
།_,#ཡོད་ཀི,།_,#མང་ཆེ་བ་,༺,#དུ་,འས་,ཡོ་,ཁུ,།༻_,
༻,ན,།_༺,#བྱུང་གི་,༻_༺,#དུ་,༻,ནས་,བུད་,༺,ལི
༺,རེ,།༻_,,༙,#དུ་,ཕྱིས་,༙_,གནམ་,བབས་,༺
༻_,ལམ་,#གང་ཡིན་,ན་,༺,#དུ་,༻,ཡིན་,ནི་,༺,རེ་
༺,#འུ་,༻,མྱུར་ལམ་,༺,#དུ་,༻,ཡོངས་རྫོགས་,ཅིག་,སྒང་,སྒང་
༺,#འུ་,༻,ཨ,།_༺,#དུ་,ན་,#དུ་,ན་,༻,༙
༻,ཨ,།_༺,#དུ་,ན་,#དུ་,ན་,༻,༙,ད་,#འུ་
༺,རེ,།༻_,,༺,#དུ་,༻,ནས་,ད་ལོ་,བཞི་,༺
དེ,འི་,ཞིང་ཆེན་,གི་,༺,#དུ་,༻,ནས་,བཀག་,༺,དང་
ཅན་,པོ,།_,,༺,#དུ་,ཟིག་,༻,ནས་,ད་,ཅིག
ན,།_,,ད་,༺,#དུ་,༻,བཀག་,༺,འས་,༻
ཡི་,ན་,༻_,ད་,༺,#དུ་,རས་,།,དེ་དུས་,༻_༺,ཟིག་
༺,#འུ་,༻,ལོ་,༺,#དུ་,#འུ་,༻,འཆར་གཞི་,༺,ཡི་
གྱི་,བོ་,༻,ལོ་,༺,#དུ་,#འུ་,༻,རིང་,༺,ང་
འི་,ཚིག,༽_,,༺,#དུ་,ན་,༻,གཏེར་,#ཟེ,ར་
༺,ར་,༻,#སྒོར་མོ་,༺,#དུ་,འས་,༻,སྦྱིན་,འཇོག་,ག
#ཟེ,ར,།_༺,ཉི་,འས་,#དུ་,འས་,༻༼༽_,,གཅིག་,གིས་
འི་,གུག་,གི་,ནང་,༺,#དུ་,༻,ནས་,#བརྒྱབ་,༺,ཡོ་
།,ངེད་,ཚང་,གི་,༻_༺,#དུ་,༻,#བརྗེས་,ཡོད་,༺,#གྱོ་
