,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༺,#ཐེས་,།,#ཐེལ་,༻,#བརྒྱབ་,༺,བ,ས་,།,ནས་
།,#ཡིས་,༻_༺,#ཐེས་,༻,#བརྒྱབ་,ཀི་,#བརྒྱབ་,ཀི་,ལས་,ཁུང་
༻_༺,#ཐེས་,༻,#བརྒྱབ་,ཀི་,#བརྒྱབ་,ཀི་,ལས་,ཁུང་,རེ་རེ་,༺
༺,ཡོ་ག,།༻_,,རྟགས་,#བརྒྱབ་,༺,བ,ས་,༻_༺,ག་
#ཡོང་,༺,ངིས་,༻,རྟགས་,#བརྒྱབ་,༺,བ,ས་,༻__༼༽_,
ནང་,༺,#དུ་,༻,ནས་,#བརྒྱབ་,༺,ཡོ་,ཁུ་,༻_,འདི་
ཡོ་,ཁུ་,༻_,འདི་,ནས་,#བརྒྱབ་,ནི་,བོ་,འཕྲུལ་,རྟ་,ག་
རྒྱག་,རོག་,གོ་,།,མ་,#བརྒྱབ་,བ,ར་,#དུ་,༻_༺,#དུ་
གི་,།,གིས་,༻,#བགོ་བཤའ་,#བརྒྱབ་,བ,ས་,བྱས་,ན་,༺
༺,དང་,༻,#དུ,ས་,#བརྒྱབ་,༺,དང་,ནི་,རེ་,༻_༺
༙,ག་,ར་,སོ་,༙_,#བརྒྱབ་,བ,འི་,༙,ཁྱི,ར་
#སུ་ར་,༻,#ནག་ཤ,ར་,རེ་,#བརྒྱབ་,བ,འི་,བཞག་,ཡོད་,ནི་
ངིས་,༻,སྐར་མ་,བདུན་,བརྒྱ་,#བརྒྱབ་,ཡོད་,༺,ཁུ་,#ཟེ་,༻_༼
