,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༻,ཤོར་,སོང་,ན,།_༺,#བྱུང་གི་,།,#མ་གཞི་,༻,ན་ནིང་,#ཞི་མོ་
༻,གི,།_,,༺,#བྱུང་གི་,༻,སྔོན་,༺,ན་,།
འི་,ཚིག,༽,,༺,#བྱུང་གི་,#འུ་ཆོས་,༻,（剑阵）,༺,ཟིག་
དུས་ཚོད་,ཡོད་,ན་,ད་,༺,#བྱུང་གི,།༻_,,#ཁ་ཚང་,༺,ང་
།,བྱས་,༻,ན,།_༺,#བྱུང་གི་,༻_༺,#དུ་,༻,ནས་,བུད་
༺,རེ,།༻_༼༽_,,༺,#བྱུང་གི་,༻,#བཅུ་གཉིས་,༙,བདག་,གོ་
_༺,#འུ་ཆོ,།༻_,,༺,#བྱུང་གི་,༻,#ཀྲུང་,དབྱང་,གི་,གཅིག་གྱུར་
འི་,ཚིག,༽_,,༺,#བྱུང་གི་,༻_༺,རིག་,སོ་,།,རིག་
རིག་,འདི་,ནས་,༙,_༺,#བྱུང་གི་,༻_,བར་བ,ར་,བ,ར་
གངས་,༺,ཟིག་,༻_༺,#བབ་ཀི་,#བྱུང་གི་,#དུ་,༻,ན་,ཡོད་,ནི་
ལོག་,འ་,བོ་,འདི་,༺,#བྱུང་གི་,༻,#ཁ་ར་,མི་,རིག་,གི
ས་,དང་,༻,ན་,༺,#བྱུང་གི་,༻,ང་,ཡོད་,མི་,མ་
