,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
དོ་,ཚིགས་,།,ད་ལོ་,༻_༺,#ཟེ་,།,#ཟེ,ར་,༻,ནི་
།,ད་ལོ་,༻_༺,#ཟེ་,།,#ཟེ,ར་,༻,ནི་,༺,རེ་
མ་གི,འི་,༻,ལམ་,༺,#ཟེ་,༻,ནི་,༺,#ཨུ་,༻
༻_༺,#ཁོས་འུ་,།,#ན་གི་,༺,#ཟེ་,གི་,༻_,#རྒྱ་གྲམ་,དམར་,༺
#དགོ་,#འུ་,༻_༺,#འགྱོ་,རོགས་,#ཟེ་,།,འགྲོ་,རོགས་,གྱིས་,#ཟེ
#ཟེ་,།,འགྲོ་,རོགས་,གྱིས་,#ཟེ,ར,།༻_༺,#ངེ་,ཉ་,།
#དུ་,མོ་,ཟིག་,༻,མིན་,#ཟེ,ར་,གི,།_,,གཉོར་
ད་,བླངས་,༺,དང་,ང་,#ཟེ་,༻_,རྒྱ་,རྒན་,༺,#ཆ་ཚིག་
ནས་,༼༽,ལོན་,༺,ཟིག་,#ཟེ,།༻_,,༺,#དགོ་,༻
༻,བཙོང་,ནི་,བོ་,༺,#ཟེ་,༻,རྒྱུ་,རེད་,ཨ,།_
#དགོ་,༻,ནི་,༺,རེ་,#ཟེ,ར་,༻,གི་,༺,ཡོ་
འདྲ་,བོ་,ཡིན་,ན་,ཐང་,#ཟེ,ར་,༺,མི་,།,མིན་
༺,རེ་,༻_,མར་,ལམ་,#ཟེ,ར་,གི,།_,#ཨོ་,#ལེ་
༻,མ་,༺,རེ་,༻,#ཟེ,ར་,གི་,༺,ཡོ་,ཁུ
ཀྱི་,༻,ལག་,#ལ་མ་,#ཡོང་,#ཟེ,ར་,གི,།_,,#བཅུ་གཅིག་
གི་,ལོ་,ལག་,#ལ་མ་,#ཡོང་,#ཟེ,ར་,གི་,ཡོད་,ནི་,༺
བཞག་,༺,དང་,ང་,༻,#ཟེ,ར་,གི,།_,ད་,ཇེ་
ར་,༻,ཅིག་,བུད་,སོང་,#ཟེ,ར་,གི,།_,,ལོ་
མ་,སྦྱིན་,༺,ཐ་,༻,#ཟེ,ར་,གི་,ཡོད་,ནི་,༺
བྲིས་,བཞག་,༺,ཡོ་,ཁུ་,#ཟེ་,༻_༺,ཉིན་,ཚིག་,།,ཉིན་
མ་,བླངས་,ནི་,༺,རེ་,#ཟེ,།༻_,,༼,དོགས་གཞི,འི་
༺,#དུ་,ན་,༻,གཏེར་,#ཟེ,ར་,ས་,ཞིག་,༼,དོགས་གཞི
༻,བཞག,།_,གྲག་,གི་,#ཟེ,ར་,གི་,༺,ཡོ་,ཁུ་
གཉིས་,ཡོད་,༺,རེ་,༻,#ཟེ,ར,།_༺,ཉི་,འས་,#དུ་
གིས་,༺,མ་,ར་,#འགྱོ་,#ཟེ་,༻_,གཅིག་,གིས་,༺,ཡ་
གིས་,༺,ཡ་,ར་,#འགྱོ་,#ཟེ་,༻_༺,ཉིས་,འས་,༻༼,དོགས་གཞི
ཉོས་,༺,དང་,ང་,༻,#ཟེ,ར་,ནས་,ཁང་,བ་,ལས
༻,གཅིག་,༺,#འགྱོ་,དང་,#ཟེ,ར་,ར,།༻_,,ཆང་
༺,#འགྱོ་,གྱི་,༻,མི་,#ཟེ,ར་,གི་,ན,།_,འདི་
བྱས་,༺,དོང་,ར་,༻,#ཟེ,ར་,༺,གྱི་,རེ་,༻
ན་རོ་,ནོག་,༺,#བརྫིས་,།,#ཟེ,ར་,༻,ན,།_,ནོག་
༻,ན,།_,ནོག་,༺,#ཟེ་,ནོ་,#དུ་,༻,ནོག་,#རྩི་དཀར་
།_,ཅིག་,མ་,འགྲིག་,ཟིག་,#ཟེ,ར་,ནས་,དགག་པ་,༙,བདག་
བརྒྱ་,#བརྒྱབ་,ཡོད་,༺,ཁུ་,#ཟེ་,༻_༼,ཕོ་,མིང་,༽,ཅན་
