,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༻,གི་,སོང་,ན་,༺,#འགྱོ་,༻,#ས་མང་,གི་,༙,ཤ་
ན་,།,#ག་ས་,#ག་ལ་,༻_༺,#འགྱོ་,#དགོ་,#འུ་,༻_༺,#འགྱོ་,རོགས་
༻_༺,#འགྱོ་,#དགོ་,#འུ་,༻_༺,#འགྱོ་,རོགས་,#ཟེ་,།,འགྲོ་,རོགས་
༻,སྣུམ་,བླུག་,གི་,༺,#འགྱོ་,ས་,བོ་,༻_,མ་,༺
གཅིག་,གིས་,༺,མ་,ར་,#འགྱོ་,#ཟེ་,༻_,གཅིག་,གིས་,༺
གཅིག་,གིས་,༺,ཡ་,ར་,#འགྱོ་,#ཟེ་,༻_༺,ཉིས་,འས་,༻༼
འདི་,ན་,༺,མ་,ར་,#འགྱོ་,ཡོད་,#དྲས་,༻_,ནོ,ར་
༽,ད་,༺,#ཁྱོ་,#ཕྱི་ར་,#འགྱོ་,༻,དགོས་,ནི་,མིན་,ནི་
བ་,ནང་,༺,ང་,༻_༺,#འགྱོ་,༻,ནི་,༺,ཟིག་,༻
ཁོ་ཐག་,ཡིན,།_༺,#འུ་ཆོས་,༻༼༽༺,#འགྱོ་,ར་,#མྱི་,༻,ཆ་མེད་,༺
༽_,,ད་,མ་,ར་,#འགྱོ་,༼༼,ཧེ་,ཧེ་,ཧེ་,ཧེ་
ཟིག་,འ་,༻,གཅིག་,༺,#འགྱོ་,དང་,#ཟེ,ར་,ར,།༻_
།_,ད་,ཡ་,༺,ར་,#འགྱོ་,ཟིག་,རེ་,#དྲ,།༻_༺,ད་
༻,གཅིག་,（海南）,ན་,༺,#འགྱོ་,གྱི་,༻,མི་,#ཟེ,ར་
