,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༙_,#པེ,།༻_༺,#འུ་ཆོས་,༻,#འུ་,ཚོ,འི་,༻,རྫོང་,ནས་
རེ,།༻_,,༙,ད་,#འུ་,༙_,སྒོ་,བསྟེན་,ཁང་,གི་
གི་,༙,ཤ་,མི་,ཚ་,#འུ,།,༙_,,དམངས་,སྲིད་
ཡིན་,ཐལ་,༻_༺,ད་,#དུ་,#འུ་,#ཆི་ཟིག་,།,ད་,#དེ་ནས་,#ཅི་ཞིག་
༻,ཡིན,།_,༙,ད་,#འུ་,༙__,ཉེན་འགོག་,༺,ཡེ་,།
#ག་ས་,#ག་ལ་,༻_༺,#འགྱོ་,#དགོ་,#འུ་,༻_༺,#འགྱོ་,རོགས་,#ཟེ་,།
ས་,ད,།_,ཡི་གེ་,༺,#འུ་,།,#ཡིས་,༻_༺,#ཐེས་,༻
ཀི་,ལས་,ཁུང་,རེ་རེ་,༺,#འུ་,༻,རོགས་སྐྱོར་,༺,ཡེད་,༻
འ་,༻,ཨ་,གོ་,༺,#འུ་,༻_,ཉི་མ་,གཅིག་,༺,འ་
༻_༼,མོ་,མིང་,༽༺,#དུ་,#འུ་,།,#དེ་ནས་,༻,སུ་,ཡིན་
༻,ཡི་གེ་,ཞིག་,༺,#དགོ་,#འུ་,༻_༼,ཕོ་,མིང་,༽༺,#གཤིས་འུ་
ཡ་,འས་,༻,#ཉོ་,༺,#འུ་,ཡོ་,ཁ་,༻_,བཙོང་,ན་
ཚིག,༽_,,#ག་ས་,༺,#འུ་,༻,མྱུར་ལམ་,༺,#དུ་,༻
ཐོག་,༺,འ་,༻_༺,ན་,#འུ་,ནོག་,འ་,བཅས་,།,ན་
༙_,འདི,།_,༙,ད་,#འུ་,༙_,རྒྱ་,༺,#འུ་,།
ད་,#འུ་,༙_,རྒྱ་,༺,#འུ་,།,#ཡིས་,༻,བཤད་,ན་
#འདེ་,༻,ཅིག་,#མི་དོ་,༺,#འུ་,༻,ཨ,།_༺,#དུ་,ན་
#དུ་,ན་,༻,༙,ད་,#འུ་,༙,_༼༽,མདའ་,ནས་,༺
སྦྱིན,།_,ལོ་,ལྔ་,༺,#འུ་,༻,འཆར་གཞི་,#བཅོ་ལྔ་,#ལོ་མཇུག་,བསྡུས་
།_,,ལོ་,ལྔ་,༺,#འུ་,༻,འཆར་གཞི་,༺,#འུ་,༻
༺,#འུ་,༻,འཆར་གཞི་,༺,#འུ་,༻,ནང་,ནས་,ལོ་,བཞི་
༺,ཟིག་,༻,#བསྒྲགས་,༺,#འུ་,༻,ལོ་,༺,#དུ་,#འུ་
#འུ་,༻,ལོ་,༺,#དུ་,#འུ་,༻,འཆར་གཞི་,༺,ཡི་,ན་
ཡི་,ན་,༻_,༙,ད་,#འུ་,༙_,སྐྱེ་,དངོས་,སྲུང་,སྐྱོབས་
བོ་,༻,ལོ་,༺,#དུ་,#འུ་,༻,རིང་,༺,ང་,༻
ཡིན་,འདུག་,མི་,ཤེས་,༺,#འུ་,ར,།༻_༺,བ་,གྱི་,མི་
ཧུག་,གི་,༙_,སོ་སོ་,༺,#འུ,།༻_,,ས་ཆ་,༺,ཁ་
ཟིག་,འ་,༻,༙,ད་,#འུ་,༙_,ཁ་གསབ་,༙,བདག་,གོ་
འི་,ཚིག,༽,#རྐོ་,༺,#འུ་,།,རུ་,༻,མ་,བཞག་
ཚང་,༻,གི་,སློབ་མ་,༺,#འུ་,༻༼,དོགས་གཞི,འི་,ཚིག,༽_
ན,།_,,༺,ཡོས་,#འུ་,།,ཡ་གི་,༻,ནས་,ལྡིང་
མ་,༺,རེ་,༻_༺,ཡོས་,#འུ་,༻,ནས་,ལྡིང་,༺,ངིས་
མ་,༺,རེ་,༻_༺,ཡོས་,#འུ་,༻,མཐོ་,༺,སོ་,།
།,#ད་ཅི་,༻_༺,#འུ་ཆོས་,ཡོས་,#འུ་,ཟིག་,འ་,༻,ཅིག་,སྦྱར་
༽_,,༼༽_,,༺,#འུ་,འིའི་,།,ངེད་,ཚང་,གི་
དོགས་གཞི,འི་,ཚིག,༽༺,རྫོགས་,#འུ་,༻,བཞག་,ཡོད་,༺,#དྲ
#དུ་,ཕྱིས་,༙,_༺,རྫོགས་,#འུ་,༻,བཞག་,༺,ཡོ་,ཁུ་
༺,ར་,༻,བཏགས་,༺,#འུ་,༻,བཞག་,ཡོད་,ནི་,༺
ནི་,༺,ཟིག,།༻_༺,ཡོས་,#འུ་,༻,ནང་,༺,#འུ་,འིའི་
ཡོས་,#འུ་,༻,ནང་,༺,#འུ་,འིའི་,༻༼,ཕོ་,མིང་,༽༼༽
ལས་,༺,དང་,ངིས་,༻_༺,#འུ་,འིའི་,༻༼,ཕོ་,མིང་,༽
༺,ཡོ་,ཁུ་,མོ,།༻_༺,#འུ་,འིའི་,༻༼,ཕོ་,མིང་,༽
བ་,ལས,།_,,#དུ་,#འུ,འི་,སྒོ,ར་,ཁར་,ལམ་
ཅང་,མེད་,ལ་ད་,༺,ད་,#འུ,འི་,༻,དགོན་པ་,༺,#འུ་
#འུ,འི་,༻,དགོན་པ་,༺,#འུ་,།,#ཡིས་,༻,#བགོ་བཤའ་,༙
པགས་,༻,དེ་,#བརྗེ་,༺,#འུ་,༻,མ་,བཞག,།_,#ཨོ་
ནས་,༻,ཅིག་,ལས་,༺,#འུ་,ཡ་,ཁུ,།༻_,,༼
#དུ་,༻,#དུ,ས་,༺,#འུ་,ཆ་,#ཨུ་,རོ་,༻_,འདི་
