,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
༻_,ཉི་མ་,གཅིག་,༺,འ་,#འུ་ཆོ་,༻,ཆེ་ཆུང་,༺,#ཉི་འ་,༻_
ནས་,༻_༺,རང་,ང་,༻_,#འུ་ཆོ,འི་,སྣུམ་,ལམ་,གན་,གི་
༻__༼༽_,,དེ་,ན་ནིང་,༺,#འུ་ཆོ,འི་,༻,གན་,ན་,ཚོང་ཁང་
༙,_༼༽,མདའ་,ནས་,༺,#འུ་ཆོ་,ཡོ་,ས་,༻,བཅུ་,ཐམ་པ་
༙,ཐང་,ར་,༙,_༺,#འུ་ཆོ,།༻_,,༺,#བྱུང་གི་,༻
༺,རེ,།༻_,#དེ་འཕྲོས་,༺,#འུ་ཆོ,།༻_༺,#འུ་ཆོ་,༻,སྟེ,ར་
།༻_,#དེ་འཕྲོས་,༺,#འུ་ཆོ,།༻_༺,#འུ་ཆོ་,༻,སྟེ,ར་,གི་,ཡོད་
རྒྱབ་,༺,བ,ས,།༻_༺,#འུ་ཆོ,འི་,༻,ཁ་,དངོས་པོ་,༺
མེད་,༺,#དྲ་,ར་,༻_༺,#འུ་ཆོ,འི་,༻,སྡེ་,བ,འི་
ཨ,།_,ད་,༺,བྱུང་,#འུ་ཆོ་,#རྫ་ཁྱ་,༻,སུམ་ཅུ་,ཅན་,༺
