,L5,L4,L3,L2,L1,A,R1,R2,R3,R4,R5
།,#ཡོད་ཀི་,ཨེ་,ཡིན་,༻_,#ཨོ,།_,འདུག་,ནི་,མ་,༺
༺,གྱི་,༻_༺,རེ་,༻,#ཨོ,།_,འཇོག་,འཇོག་,༺,གྱི་
འཇོག་,༺,གྱི་,རེ་,༻,#ཨོ,།_༼,དོགས་གཞི,འི་,ཚིག,༽
ཡོད་,ནི་,༺,རེ,།༻_,#ཨོ་,༺,#དུ་རེ,།༻_,#ལག་རྟགས་,འདྲ་
,༺,དོ་,ཚིགས་,༻_,#ཨོ་,#ལེ་,༺,དོ་,ཚིགས་,༻__
ལམ་,#ཟེ,ར་,གི,།_,#ཨོ་,#ལེ་,༺,མ་,ར་,།
ཡོད་,༺,#གྱོ་,རེ་,༻,#ཨོ,།_,#བསད་,ད་,ཡོད་,༺
#འུ་,༻,མ་,བཞག,།_,#ཨོ་,༺,#དུ་རེ་,༻_,གོན་,#བསྡད་
དེ་,ཚོད་,ཀི,།_,,#ཨོ་,དེ་,ལྷག་,༺,གྱི་,༻
ཅིག་,འགྲིག་,གི་,མེད་,ཀི་,#ཨོ,།_༺,#མྱི་,༻,སྐྱེད་,ནི་
ནི་,མ་,༺,རེ་,༻,#ཨོ,།_,,གངས་དཀར་,རི་བོ་,༺
